carbon_source,ci_75th_lower_mM,ci_75th_upper_mM,ci_95th_lower_mM,ci_95th_upper_mM,compound_turnover,mean_val_mM,median_val_mM,od_600nm,replicate,strain
glucose,0.00378286625,0.3916265,-0.0043977454999999995,0.408710325,acetate,0.1032714981643457,0.012743,0.19699999999999998,2.0,REL606
glucose,0.008931815,0.548724,0.0015353440000000008,0.5668481999999999,acetate,0.14712280220532475,0.0189399,0.276,2.0,REL606
glucose,0.013741425,0.70875325,0.006873295,0.728427875,acetate,0.1923860959304636,0.0253214,0.303,2.0,REL606
glucose,0.0158919875,0.779554375,0.008939938750000001,0.8004809999999999,acetate,0.21082016271115653,0.02828,0.35600000000000004,2.0,REL606
glucose,0.017871975000000002,0.850264625,0.010904160000000001,0.87173455,acetate,0.2317912157792771,0.0312193,0.40399999999999997,2.0,REL606
glucose,-0.0038616337499999998,0.1700405,-0.014571069999999998,0.18563022499999998,acetate,0.041286902670284197,0.004587345,0.10300000000000001,3.0,REL606
glucose,-0.0017428124999999998,0.23168775,-0.011563074999999999,0.24755665000000002,acetate,0.05847830393426048,0.00667006,0.15,3.0,REL606
glucose,0.0059079175,0.4511955,-0.00210483,0.46861175,acetate,0.11973171593390998,0.0150305,0.20800000000000002,3.0,REL606
glucose,0.0090662925,0.5534,0.0016760462500000001,0.5715341249999999,acetate,0.14802375811018828,0.01911465,0.268,3.0,REL606
glucose,0.01305315,0.6849315,0.006151531,0.70427995,acetate,0.1859252574628441,0.02434545,0.295,3.0,REL606
glucose,0.017326349999999997,0.83135475,0.01042183,0.8526439499999999,acetate,0.22655856969658783,0.0304748,0.366,3.0,REL606
glucose,0.018061025,0.856445375,0.011045985000000001,0.8780431,acetate,0.23342026896060017,0.03146675,0.395,3.0,REL606
glucose,0.21201325,1.7994625,-0.08136254,2.3718377500000005,glucose,1.038128956931655,1.032235,0.102,1.0,REL606
glucose,0.17645824999999998,1.763825,-0.12355255000000001,2.3283017499999996,glucose,1.001592289511547,0.9979525,0.153,1.0,REL606
glucose,0.1345225,1.7191100000000001,-0.16936299999999999,2.28005,glucose,0.9595947352725456,0.954885,0.205,1.0,REL606
glucose,0.075560425,1.6621875,-0.2286092,2.213596499999999,glucose,0.9016097006808933,0.900445,0.251,1.0,REL606
glucose,0.092729,1.67777,-0.2097926,2.2323780000000006,glucose,0.9192365955959867,0.917037,0.297,1.0,REL606
glucose,0.0126487875,1.6030112500000002,-0.30115295,2.135808749999998,glucose,0.8369930572655615,0.841526,0.35200000000000004,1.0,REL606
glucose,0.00198325875,1.59209875,-0.31421062499999997,2.11954175,glucose,0.8249590507621812,0.83168,0.391,1.0,REL606
glucose,0.282848875,1.87398625,-0.011676127499999998,2.4491407499999993,glucose,1.1110428316942755,1.10504,0.098,2.0,REL606
glucose,0.165609,1.749735,-0.137449,2.315485,glucose,0.9902056619417215,0.984417,0.153,2.0,REL606
glucose,0.290459125,1.8843325,-0.001865156574999995,2.4595652499999985,glucose,1.1185820110274258,1.112035,0.19699999999999998,2.0,REL606
glucose,0.1324405,1.71632,-0.17163499999999998,2.27712,glucose,0.9569789795360474,0.951795,0.276,2.0,REL606
glucose,0.0731677,1.6608299999999998,-0.23153524999999997,2.2100914999999985,glucose,0.898476638142748,0.897489,0.303,2.0,REL606
glucose,-0.0267768125,1.563625,-0.346139925,2.0869955000000004,glucose,0.7946153048704253,0.803938,0.35600000000000004,2.0,REL606
glucose,0.0805082625,1.6653462500000002,-0.2240619,2.2168010000000002,glucose,0.9072317539842113,0.9075895,0.40399999999999997,2.0,REL606
glucose,0.44062675,2.0429125,0.14640025,2.6364205,glucose,1.2683151446725276,1.25606,0.10300000000000001,3.0,REL606
glucose,0.40983400000000003,2.011525,0.1179125,2.5986599999999997,glucose,1.238312370090563,1.23113,0.15,3.0,REL606
glucose,0.1765895,1.7586024999999998,-0.12374764999999999,2.328162,glucose,1.0012868227780802,0.997804,0.20800000000000002,3.0,REL606
glucose,0.2204895,1.806905,-0.07541412499999997,2.3792454999999992,glucose,1.0460728976314362,1.03764,0.268,3.0,REL606
glucose,0.13201675,1.7157437500000001,-0.17225627500000001,2.2759969999999994,glucose,0.9567988250883976,0.951334,0.295,3.0,REL606
glucose,-0.00196943,1.58642,-0.3188395,2.111791999999998,glucose,0.8199398322459261,0.827398,0.366,3.0,REL606
glucose,0.0202992875,1.6108825,-0.29183675,2.1448819999999995,glucose,0.8452823859073321,0.8484255,0.395,3.0,REL606
