conc_range_mM,rel_area_lower,rel_area_upper,percentile,strain,carbon_source,compound_turnover
12.121212121212121,0.08504755027272726,0.09125004427424241,95,REL606,acetate,acetate
12.424242424242424,0.08727752753030305,0.09346262365151516,95,REL606,acetate,acetate
12.727272727272728,0.08947944248636364,0.09569354981818183,95,REL606,acetate,acetate
13.030303030303031,0.09167991831818181,0.09792128193939395,95,REL606,acetate,acetate
13.333333333333334,0.09387711466666668,0.10012744258333332,95,REL606,acetate,acetate
13.636363636363637,0.09606309909090908,0.10238904250454545,95,REL606,acetate,acetate
13.93939393939394,0.09825371808030303,0.10464291895151516,95,REL606,acetate,acetate
14.242424242424242,0.10043333716666666,0.10690224938030302,95,REL606,acetate,acetate
14.545454545454547,0.1026174355,0.10915439881818183,95,REL606,acetate,acetate
14.84848484848485,0.10478808187424242,0.11140383493484848,95,REL606,acetate,acetate
15.151515151515152,0.1069729746969697,0.11363338172727272,95,REL606,acetate,acetate
15.454545454545455,0.10918278799999999,0.11592117118181819,95,REL606,acetate,acetate
15.757575757575758,0.11133572787196969,0.11814604978939394,95,REL606,acetate,acetate
16.060606060606062,0.1135159297878788,0.12037811436969699,95,REL606,acetate,acetate
16.363636363636363,0.11567928631363636,0.12264024682272727,95,REL606,acetate,acetate
16.666666666666668,0.11784409233333334,0.12490403738333335,95,REL606,acetate,acetate
16.96969696969697,0.12005154560606059,0.12718582871212122,95,REL606,acetate,acetate
17.272727272727273,0.12225774322727274,0.12943844537727273,95,REL606,acetate,acetate
17.575757575757578,0.12444533901515151,0.1317188024409091,95,REL606,acetate,acetate
17.87878787878788,0.12665172942424244,0.13400436237878788,95,REL606,acetate,acetate
18.181818181818183,0.12881082054545456,0.13627325569090912,95,REL606,acetate,acetate
18.484848484848484,0.13096308201515153,0.13858408180303028,95,REL606,acetate,acetate
18.78787878787879,0.13313810722727273,0.1408933474818182,95,REL606,acetate,acetate
19.09090909090909,0.1353283999090909,0.14317928601363636,95,REL606,acetate,acetate
19.393939393939394,0.13750812666969697,0.14546900386666664,95,REL606,acetate,acetate
19.6969696969697,0.13966457504545457,0.14775247925757576,95,REL606,acetate,acetate
20.0,0.14183050199999997,0.15003475874999997,95,REL606,acetate,acetate
20.303030303030305,0.14399270546969697,0.1523197717909091,95,REL606,acetate,acetate
20.606060606060606,0.14614355657272726,0.15462085280303028,95,REL606,acetate,acetate
20.90909090909091,0.14829430197272728,0.15690961709090911,95,REL606,acetate,acetate
21.21212121212121,0.15046657284848486,0.1591866798939394,95,REL606,acetate,acetate
21.515151515151516,0.15261525528484848,0.16149603462121212,95,REL606,acetate,acetate
21.81818181818182,0.15476606060909096,0.16378652490454548,95,REL606,acetate,acetate
22.12121212121212,0.15695035130303028,0.16605602667727273,95,REL606,acetate,acetate
22.424242424242426,0.1591240167727273,0.1683250752530303,95,REL606,acetate,acetate
