peak_idx,retention_time,arrival_time,departure_time,area,height,detector,replicate,time_idx,compound,od_600nm,rel_area_phosphate,strain,carbon_source,medium_base,date
1,10.89,10.425,11.7,250612,14819,B,3,2,NaCl,0.15,0.13789232918484004,REL606,glucose,DM,2021-04-04
2,13.967,12.558,14.232999999999999,1817447,47471,B,3,2,phosphate,0.15,1.0,REL606,glucose,DM,2021-04-04
4,15.68,14.975,17.6,1194260,47840,B,3,2,glucose,0.15,0.6571085704287388,REL606,glucose,DM,2021-04-04
6,25.034000000000002,24.608,25.55,3323,124,B,3,2,acetate,0.15,0.0018283889433914717,REL606,glucose,DM,2021-04-04
1,10.886,10.417,11.817,228750,13456,B,3,3,NaCl,0.208,0.14282476478400213,REL606,glucose,DM,2021-04-04
2,13.905,12.55,14.183,1601613,43289,B,3,3,phosphate,0.208,1.0,REL606,glucose,DM,2021-04-04
4,15.677,14.967,17.508,957830,38287,B,3,3,glucose,0.208,0.5980408500680252,REL606,glucose,DM,2021-04-04
6,25.035999999999998,24.558000000000003,25.658,5507,193,B,3,3,acetate,0.208,0.0034384086542754086,REL606,glucose,DM,2021-04-04
1,10.886,10.417,11.75,238599,14046,B,3,4,NaCl,0.268,0.14050087062618544,REL606,glucose,DM,2021-04-04
2,13.933,12.558,14.2,1698203,45220,B,3,4,phosphate,0.268,1.0,REL606,glucose,DM,2021-04-04
4,15.677999999999999,14.982999999999999,17.633,1034545,41387,B,3,4,glucose,0.268,0.6091998424216657,REL606,glucose,DM,2021-04-04
6,25.041999999999998,24.566999999999997,25.658,7111,249,B,3,4,acetate,0.268,0.004187367470202326,REL606,glucose,DM,2021-04-04
1,10.885,10.417,11.892000000000001,230272,13559,B,3,5,NaCl,0.295,0.14209295107347833,REL606,glucose,DM,2021-04-04
2,13.911,12.542,14.183,1620573,43695,B,3,5,phosphate,0.295,1.0,REL606,glucose,DM,2021-04-04
4,15.677,14.975,17.575,951130,38001,B,3,5,glucose,0.295,0.5869096918188813,REL606,glucose,DM,2021-04-04
6,25.039,24.541999999999998,25.666999999999998,8347,285,B,3,5,acetate,0.295,0.005150647332764399,REL606,glucose,DM,2021-04-04
1,10.885,10.408,11.917,225388,13236,B,3,6,NaCl,0.366,0.1445102419232811,REL606,glucose,DM,2021-04-04
2,13.894,12.558,14.175,1559668,42477,B,3,6,phosphate,0.366,1.0,REL606,glucose,DM,2021-04-04
4,15.677999999999999,14.975,17.358,861842,34555,B,3,6,glucose,0.366,0.552580420961384,REL606,glucose,DM,2021-04-04
6,25.049,24.533,25.775,9713,329,B,3,6,acetate,0.366,0.006227607413885519,REL606,glucose,DM,2021-04-04
1,10.884,10.4,12.058,229247,13382,B,3,7,NaCl,0.395,0.1443424571972578,REL606,glucose,DM,2021-04-04
2,13.902000000000001,12.533,14.175,1588216,43066,B,3,7,phosphate,0.395,1.0,REL606,glucose,DM,2021-04-04
4,15.677,14.967,17.65,887771,35443,B,3,7,glucose,0.395,0.5589737164214439,REL606,glucose,DM,2021-04-04
6,25.038,24.50800000000001,25.7,10182,346,B,3,7,acetate,0.395,0.006410966770262987,REL606,glucose,DM,2021-04-04
